,,,Cambodia,,,Cameroon,,,Côte d'Ivoire,,,Mozambique,,,Sierra Leone,,,Uganda,,,Zambia,,,,,,,,,,,
,"SOC, at DH: clinical exam + Xpert Ultra on sputum + CXR [for some] + smear [for some]",c.d.soc.dh.examCXRxsp,1.59,1.98,,1.56,3.16,,2.31,3.76,,0.74,2.25,,0.97,2.68,,2.48,3.03,,2.15,2.97,,,,,,,,,,
,"SOC, at DH: clinical exam + Xpert Ultra on GA + CXR [for some] + smear [for some]",c.d.soc.dh.examCXRxga,8.83,9.50,,13.00,15.02,,12.29,14.53,,4.42,5.96,,3.82,5.63,,6.88,7.64,,12.06,13.36,,,,,,,,,,
,"IDH, at DH: clinical exam + CXR + Xpert Ultra on NPA & stool/sputum",c.d.idh.dh.examCXRxns,2.85,3.27,,2.49,5.12,,4.02,6.77,,1.65,4.03,,1.99,5.22,,4.04,5.23,,3.99,5.72,,,,,,,,,,
,"IPH, at DH: clinical exam + CXR + Xpert Ultra on NPA & stool/sputum",c.d.iph.dh.examCXRxns,2.85,3.27,,2.49,5.12,,4.02,6.77,,1.65,4.03,,1.99,5.22,,4.04,5.23,,3.99,5.72,,,,,,,,,,
,"IPD, at DH: clinical exam + CXR + Xpert Ultra on NPA & stool/sputum",c.d.ipd.dh.examCXRxns,2.85,3.27,,2.49,5.12,,4.02,6.77,,1.65,4.03,,1.99,5.22,,4.04,5.23,,3.99,5.72,,,,,,,,,,
,"IPH, at PHC: clinical exam + Xpert Ultra on NPA & stool/sputum",c.d.iph.phc.examxns,2.34,2.44,,1.85,4.01,,2.82,4.85,,1.10,2.85,,1.10,2.85,,3.22,3.53,,2.60,3.71,,,,,,,,,,
,"IPD, at PHC: clinical exam + Xpert Ultra on sputum",c.d.ipd.phc.examxsp,1.47,1.58,,1.25,2.66,,1.88,3.07,,0.54,1.82,,0.66,1.85,,2.18,2.43,,1.65,2.25,,,,,,,,,,
,"SOC, at PHC: clinical exam + Xpert Ultra on sputum + smear [for some]",c.d.soc.phc.examxsp,1.48,1.59,,1.25,2.67,,1.89,3.09,,0.55,1.84,,0.66,1.86,,2.19,2.44,,1.67,2.27,,,,,,,,,,
Referral,"SOC, at PHC: refer to DH",c.d.soc.phc.refer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IDH, at PHC: refer to DH",c.d.idh.phc.refer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IPH, at PHC: refer to DH",c.d.iph.phc.refer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IPD, at PHC: refer to DH",c.d.ipd.phc.refer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treatment,"IDH, dx at DH: rifampicin-sensitive anti-TB treatment",c.d.idh.dh.rsATT,2.97,4.92,,4.26,7.76,,9.24,14.05,,4.79,9.22,,8.07,23.06,,2.88,8.85,,11.41,15.98,,,,,,,,,,
,"IPH, dx at DH: rifampicin-sensitive anti-TB treatment",c.d.iph.dh.rsATT,2.97,4.92,,4.26,7.76,,9.24,14.05,,4.79,9.22,,8.07,23.06,,2.88,8.85,,11.41,15.98,,,,,,,,,,
,"IPH, dx at PHC: rifampicin-sensitive anti-TB treatment",c.d.iph.phc.rsATT,2.97,4.92,,4.26,7.76,,9.24,14.05,,4.79,9.22,,8.07,23.06,,2.88,8.85,,11.41,15.98,,,,,,,,,,
,"IPD, dx at DH: rifampicin-sensitive anti-TB treatment",c.d.ipd.dh.rsATT,2.97,4.92,,4.26,7.76,,9.24,14.05,,4.79,9.22,,8.07,23.06,,2.88,8.85,,11.41,15.98,,,,,,,,,,
,"IPD, dx at PHC: rifampicin-sensitive anti-TB treatment",c.d.ipd.phc.rsATT,2.97,4.92,,4.26,7.76,,9.24,14.05,,4.79,9.22,,8.07,23.06,,2.88,8.85,,11.41,15.98,,,,,,,,,,
,"SOC, dx at DH: rifampicin-sensitive anti-TB treatment",c.d.soc.dh.rsATT,2.97,4.92,,4.26,7.76,,9.24,14.05,,4.79,9.22,,8.07,23.06,,2.88,8.85,,11.41,15.98,,,,,,,,,,
,"SOC, dx at PHC: rifampicin-sensitive anti-TB treatment",c.d.soc.phc.rsATT,2.97,4.92,,4.26,7.76,,9.24,14.05,,4.79,9.22,,8.07,23.06,,2.88,8.85,,11.41,15.98,,,,,,,,,,
,"IDH, dx at DH: rifampicin-resistant anti-TB treatment",c.d.idh.dh.rrATT,23.37,38.80,,33.59,61.20,,72.81,110.78,,37.79,72.70,,63.62,181.77,,22.74,69.79,,89.95,125.94,,,,,,,,,,
,"IPH, dx at DH: rifampicin-resistant anti-TB treatment",c.d.iph.dh.rrATT,23.37,38.80,,33.59,61.20,,72.81,110.78,,37.79,72.70,,63.62,181.77,,22.74,69.79,,89.95,125.94,,,,,,,,,,
,"IPH, dx at PHC: rifampicin-resistant anti-TB treatment",c.d.iph.phc.rrATT,23.37,38.80,,33.59,61.20,,72.81,110.78,,37.79,72.70,,63.62,181.77,,22.74,69.79,,89.95,125.94,,,,,,,,,,
,"IPD, dx at DH: rifampicin-resistant anti-TB treatment",c.d.ipd.dh.rrATT,23.37,38.80,,33.59,61.20,,72.81,110.78,,37.79,72.70,,63.62,181.77,,22.74,69.79,,89.95,125.94,,,,,,,,,,
,"IPD, dx at PHC: rifampicin-resistant anti-TB treatment",c.d.ipd.phc.rrATT,23.37,38.80,,33.59,61.20,,72.81,110.78,,37.79,72.70,,63.62,181.77,,22.74,69.79,,89.95,125.94,,,,,,,,,,
,"SOC, dx at DH: rifampicin-resistant anti-TB treatment",c.d.soc.dh.rrATT,23.37,38.80,,33.59,61.20,,72.81,110.78,,37.79,72.70,,63.62,181.77,,22.74,69.79,,89.95,125.94,,,,,,,,,,
,"SOC, dx at PHC: rifampicin-resistant anti-TB treatment",c.d.soc.phc.rrATT,23.37,38.80,,33.59,61.20,,72.81,110.78,,37.79,72.70,,63.62,181.77,,22.74,69.79,,89.95,125.94,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
